,Date,Title,Summary,Unnamed: 4
0,01/06/2020,Higher diesel prices push up truck rentals in first week of January: IFTRT,"Truck rentals on trunk routes – which are the main routes on which cargo moves across the country – increased by three-four per cent during January 1 to January 6, against the prevailing rates in December 2019, a freight rate tracking body has said.
If fuel prices keep rising due to the US-Iran conflict and if the rupee depreciates further, then the economy could be in for a fix, said the Indian Foundation of Transport Research and Training (IFTRT), a body that tracks truck prices.
December 2019 witnessed a Rs 2.16 a litre (ex-Delhi) increase in diesel prices, while full truck load rentals declined further by 2-2.5 per cent on trunk routes due to the general economic slowdown.
Cargo offerings in December 2019 fell by 10-15 per cent on average, on lower factory output and stalled infrastructure projects, added IFTRT.
Overall, calendar 2019 witnessed a 10.4-19.4 per cent fall in truck rentals between December 2018 and December 2019, said the research body, adding, this is despite an average 8.2 per cent increase in diesel prices during the period.",
1,04/09/2020,"Truck rentals for fruits and vegetables soar by 75-85%, says IFTRT","Truck rentals for essential items like fruits and vegetables shoot by 75-85 per cent against the rates prevailing till March 15.
The rentals have risen despite waiver of toll fee, motor vehicle taxes, deferment of equal monthly instalments on truck loan and third party insurance policy cover on vehicles, said SP Singh, Senior Fellow, Indian Foundation of Transport Research and Training (IFTRT).
Trucks are charging rentals for return load as well, said Singh.
This is despite fleet owners paying transporters far below mandatory minimum wages as required under the Motor Transport Workers Act.",
2,08/20/2020,Transporters mull surrendering vehicles as loan moratorium comes to an end,"Transporters are on the verge of surrendering 50,000 vehicles to financiers, after being hit by sluggish economic activity, low freight availability, and end of the moratorium on August 31.
“We see 45,000-50,000 vehicles getting surrendered as transporters will not be able to meet payment obligations,” said Singh.
However, Umesh Revankar, MD and CEO, Shriram Transport Finance, has dismissed suggestions of any crisis.
“I don’t see repossession or surrendering of vehicles happening.
ALSO READ: FM seeks investment from UAE for Rs 111 trn National Infra PipelineHe pointed out that financiers including Shriram Transport have been providing working capital requirements.",
3,01/03/2020,Overall economic slowdown hits truck rentals hard in 2019,"Continuing the downward trend, December too saw a decline of 2.5% in truck rentals, the association said in a release here.
Truck rentals on main trunk routes across the country dropped between 10.4% and 19.4% in calender year 2019.
Continuing the downward trend, December too saw a decline of 2.5% in truck rentals, the association said in a release here.
While Delhi-Nagpur-Delhi route saw a minimum rental drop of 10.4%, the Delhi-Ranchi-Delhi route witnessed a maximum drop of 19.4%.
Similarly, rentals in the Delhi-Guwahati-Delhi route declined by 17% and Delhi-Raipur-Delhi route rentals fell by 15.8%, IFTRT said.",
4,07/16/2020,"States can fix minimum freight rates for trucks, says Road Ministry","Following a demand from transport associations, the Road Transport and Highways Ministry has reminded various States that it is possible for them to fix a minimum floor price for cargo movement.
Simply put, freight rate is the amount charged by truck drivers for moving goods between two different places.
States are free to fix a range of minimum and maximum rate for freight and several forms of passenger transport, the Road Transport Ministry has reiterated in a letter to States on July 10.
The Road transport Ministry issued this guidance citing representation from transport associations that asked the Ministry to fix the minimum freight rates in view of “economic turbulence, weak demand and other factors”, according to an advisory.
Even though a section of transporters had sought government intervention to fix a minimum freight rate limit, the move will create a rift in other sections of transporters, say transport experts.",
5,06/29/2020,Freight rates on key routes shoot past pre-lockdown level on diesel hike,"After being subdued for several months, freight rates on key trunk routes have gone up by 10-15 per cent (see chart) following a steep hike in It surpassed rates before the lockdown, according to the Indian Foundation of Transport Research and Training (IFTRT).
The hike in have a direct correlation with the freight rates with fuel as a percentage accounting for more than 65 per cent of the variable operating costs for transporters.
“In some routes where the demand is strong, the increase is as much as 20 per cent,” said SP Singh, senior fellow at IFTRT.
Now that demand is picking up gradually, they don’t want to be saddled with stock and are therefore not complaining of high freight rates,” said Singh, adding that the diesel price hike has come as an excuse for many to charge more.
“This (hike in diesel price) will not help anyone, neither transporters nor users of the transport services,” said Balmalkit Singh, chairman of the core committee at All India Motor Transport Congress (AIMTC).",
6,03/25/2020,Supply Chain Woes: COVID-19 Lockdown Leaves Truckers Stranded Across India,"The policemen posted at the border would not allow him to cross over as the COVID-19 lockdown is to be followed stringently.
Trucks, even the ones carrying essential goods, are not being allowed to move following the government orders to seal the borders and check posts.
“I started from Mangalore at 4 am today and have been at the border check post of Hubli since 1 pm.
“The biggest challenge we are facing is with all the dhabas and restaurants being shut, the drivers have no option but to starve.
Most of them are not on the payrolls of the transporters and are on minimum wages,” Singh tells Business Standard.",
7,08/20/2020,Freight rates may see no relief from drop in Delhi diesel prices,"A near 10 per cent drop in diesel prices in the capital, following the slashing of Value Added Tax (VAT) on diesel by the Delhi government last week, is not reflecting in truck freight charges.
Meanwhile, transport unions are asking the Centre and other States to take a cue from Delhi and lower diesel prices.
Long-distance trucks bypassing Delhi are unlikely to change their routes to fill their tanks in the city for two reasons.
That said, vehicle users in Delhi – commercial and private — who’d avoided filling their fuel tanks due to the higher prices will no longer do so.
Last Thursday, Delhi announced a reduction in VAT on diesel from 30 per cent to 16.75 per cent, which made diesel prices in Delhi cheaper by ₹8.36 per litre.",
8,03/22/2020,Fuel sales tax hike double whammy for struggling road transporters,"The only reprieve for transporters in the near to medium term is a bumper rabi crop, the harvesting of which has begun.
The government raised fuel taxes by Rs 3 per litre on Saturday though global crude oil prices dropped 30 per cent, dashing hopes of falling rapidly over the next few days.
We were expecting prices to come down by Rs 10-12 (per litre),” said S P Singh, senior fellow, IFTRT.
“Prices of all the other inputs— be it insurance, toll, registration, or tyres — have gone up sharply.
“Unless manufacturing and other core sectors pick up and demand starts improving, there’s no respite for our sector,” he said.",
9,09/03/2020,When rail wheels prefer to take the roads,"This was when the train tracks were occupied with passenger trains and freight trains did not get priority.
Push by RailwaysThat this is not a one-off case becomes clear from recent public declarations of rail component manufacturing units, which said they are putting extra effort to make customers prefer rail over road.
Having loaded 1,663 wheelsets - in one rake comprising 45 wagons - RWF generated ₹0.75 crore for South Western Railway and Indian Railways.
Trend may changeAlso, freight trains are racing to meet an ambitious target to load 50 per cent more freight than last year.
The steps introduced since June include discounts in freight rates for long distance, short distance, commodities of various weight, among others.",
